dp,min_dist,param_1,param_2,count,min_radius,max_radius
1,40,69,6,29,5,20

circle_no,x_coordinate,y-coordinate,predicted_radius
0,247.5,79.5,14.1
1,186.5,304.5,11.8
2,205.5,126.5,16
3,82.5,179.5,19.4
4,267.5,255.5,19.4
5,152.5,162.5,16
6,277.5,336.5,19.4
7,46.5,154.5,16.8
8,254.5,294.5,17.2
9,348.5,263.5,11.8
10,234.5,184.5,16
11,89.5,276.5,13.8
12,127.5,125.5,13.6
13,246.5,124.5,13.8
14,160.5,94.5,16
15,202.5,256.5,14.4
16,206.5,76.5,18.3
17,62.5,224.5,16.8
18,282.5,150.5,11.8
19,116.5,201.5,19.4
20,87.5,113.5,19.4
21,267.5,24.5,19.4
22,298.5,297.5,14.2
23,165.5,216.5,16
24,128.5,289.5,12.1
25,187.5,31.5,15.1
26,121.5,242.5,19.4
27,234.5,332.5,12.7
28,130.5,63.5,10.3

Year,Month,Day,Hour,Min,Sec
2088,5,21,12,44,20
